Fault Type,Voltage (V),Current (A),Power Load (MW),Temperature (°C),Wind Speed (km/h),Weather Condition,Maintenance Status,Component Health,Duration of Fault (hrs),Down time (hrs),Latitude,Longitude
Line Breakage,1906,209,54,35,10,Snowy,Pending,Normal,4.3,3.2,34.0401,-118.4103
Line Breakage,1803,216,49,37,21,Thunderstorm,Completed,Normal,5.3,5.5,34.3972,-118.8477
Transformer Failure,1933,230,46,40,19,Windstorm,Scheduled,Faulty,4.4,4.9,34.3345,-118.6729
Overheating,1857,185,51,23,16,Rainy,Pending,Overheated,5.0,6.0,34.77,-118.7954
Overheating,1955,226,52,21,30,Rainy,Pending,Faulty,2.9,1.1,34.2143,-118.4067
Line Breakage,1970,206,52,32,20,Windstorm,Completed,Overheated,5.0,6.5,34.2164,-118.8191
Transformer Failure,2141,211,46,39,13,Clear,Scheduled,Overheated,2.2,1.1,34.5608,-118.7147
Transformer Failure,1995,200,46,21,21,Rainy,Pending,Normal,5.9,5.5,34.9302,-118.6966
Transformer Failure,1811,218,45,23,19,Rainy,Completed,Faulty,5.7,6.3,34.0761,-118.5825
Line Breakage,2287,183,52,25,10,Clear,Scheduled,Overheated,2.9,6.2,34.1203,-118.3633
Overheating,1811,241,46,24,16,Clear,Completed,Overheated,3.5,1.2,34.6949,-118.7269
Transformer Failure,2298,181,54,21,12,Snowy,Pending,Faulty,4.9,2.2,34.8305,-118.5876
Transformer Failure,2246,204,48,34,10,Clear,Pending,Faulty,4.2,5.2,34.0244,-118.728
Line Breakage,1946,226,46,39,21,Windstorm,Completed,Overheated,2.7,5.0,34.7156,-118.2575
Transformer Failure,1964,224,51,25,28,Windstorm,Completed,Faulty,5.9,5.6,34.7262,-118.4592
Line Breakage,2053,249,51,31,23,Clear,Pending,Faulty,5.5,3.0,34.8142,-118.2483
Transformer Failure,2076,201,45,30,26,Rainy,Pending,Faulty,4.2,6.0,34.6455,-118.5492
Line Breakage,2300,206,51,22,23,Clear,Pending,Overheated,2.2,1.6,34.8511,-118.4263
Line Breakage,2282,201,48,30,25,Clear,Completed,Overheated,5.3,3.2,34.2547,-118.4496
Transformer Failure,1912,224,51,23,17,Windstorm,Scheduled,Overheated,5.6,2.1,34.5231,-118.1806
Line Breakage,2209,193,52,24,12,Snowy,Scheduled,Faulty,3.2,2.3,34.8932,-118.0307
Overheating,1812,182,45,29,13,Rainy,Scheduled,Overheated,2.3,2.5,34.0966,-118.1855
Line Breakage,2006,181,54,29,20,Windstorm,Completed,Normal,3.2,4.7,34.4219,-118.6425
Transformer Failure,2147,242,45,35,20,Snowy,Scheduled,Faulty,4.8,6.2,34.6352,-118.4067
Transformer Failure,2016,224,55,35,10,Windstorm,Scheduled,Faulty,5.0,1.5,34.7529,-118.2302
Transformer Failure,2170,192,52,32,20,Rainy,Pending,Faulty,2.1,2.9,34.5437,-118.917
Overheating,2010,192,45,24,28,Clear,Pending,Faulty,2.3,2.1,34.8546,-118.7834
Transformer Failure,2273,248,55,21,18,Thunderstorm,Scheduled,Overheated,4.1,2.0,34.6971,-118.6118
Transformer Failure,1948,222,51,23,14,Clear,Scheduled,Faulty,3.9,1.0,34.2934,-118.8373
Overheating,2195,228,45,29,15,Rainy,Completed,Overheated,4.3,4.0,34.8068,-118.0946
Overheating,2266,194,46,25,14,Rainy,Pending,Overheated,4.3,3.6,34.4447,-118.2992
Transformer Failure,2162,247,50,40,27,Clear,Completed,Faulty,2.1,3.6,34.7943,-118.57
Overheating,1934,225,52,32,26,Rainy,Scheduled,Normal,2.1,1.5,34.4223,-118.9348
Line Breakage,2079,227,53,28,25,Clear,Pending,Normal,4.3,1.7,34.6646,-118.5539
Line Breakage,1868,230,45,31,11,Thunderstorm,Scheduled,Normal,4.1,2.6,34.2322,-118.8526
Overheating,1870,220,48,35,16,Rainy,Pending,Faulty,3.9,2.3,34.0089,-118.1196
Line Breakage,2077,189,47,24,26,Rainy,Scheduled,Faulty,4.1,6.9,34.3879,-118.3666
Overheating,2011,226,48,28,23,Clear,Completed,Normal,5.5,5.7,34.1647,-118.3731
Line Breakage,1991,230,52,39,17,Rainy,Completed,Overheated,5.8,4.1,34.1926,-118.2735
Transformer Failure,1880,210,54,36,19,Windstorm,Scheduled,Faulty,4.4,3.5,34.646,-118.2446
Overheating,1874,185,50,28,22,Snowy,Completed,Overheated,5.2,6.5,34.0848,-118.1083
Transformer Failure,2270,219,52,36,25,Windstorm,Pending,Overheated,4.8,6.5,34.8363,-118.3947
Overheating,1870,240,50,22,25,Snowy,Pending,Overheated,4.5,1.4,34.5993,-118.2142
Overheating,1947,245,48,30,20,Rainy,Pending,Normal,3.4,2.8,34.2682,-118.7287
Transformer Failure,1935,234,55,26,29,Rainy,Pending,Faulty,2.8,5.1,34.5177,-118.5885
Overheating,2208,239,54,36,15,Clear,Pending,Overheated,5.5,4.8,34.5428,-118.6789
Line Breakage,1972,203,55,35,21,Rainy,Completed,Faulty,4.9,6.6,34.5981,-118.3666
Transformer Failure,2110,189,49,23,22,Thunderstorm,Completed,Normal,2.3,5.9,34.5374,-118.8537
Transformer Failure,2081,215,53,38,23,Rainy,Completed,Normal,5.9,4.8,34.9278,-118.5452
Transformer Failure,1998,220,46,24,15,Clear,Completed,Normal,2.2,1.4,34.5953,-118.5236
Line Breakage,2201,192,55,33,16,Clear,Pending,Overheated,2.2,1.7,34.5485,-118.7316
Overheating,1923,209,48,39,29,Thunderstorm,Completed,Overheated,3.4,2.4,34.7196,-118.7158
Line Breakage,1912,201,51,26,27,Thunderstorm,Scheduled,Normal,2.4,5.4,34.5537,-118.6833
Transformer Failure,1926,232,48,27,24,Thunderstorm,Scheduled,Normal,5.7,2.7,34.8096,-118.8754
Line Breakage,2096,229,52,26,17,Clear,Scheduled,Faulty,4.8,3.7,34.2388,-118.6915
Overheating,2184,228,45,37,18,Rainy,Pending,Faulty,3.7,6.3,34.8881,-118.1494
Transformer Failure,2115,229,52,39,16,Snowy,Scheduled,Overheated,2.3,6.0,34.3221,-118.501
Overheating,1906,207,50,31,22,Snowy,Scheduled,Overheated,3.2,2.4,34.3777,-118.2119
Overheating,2151,211,55,22,24,Clear,Completed,Overheated,3.4,3.3,34.8777,-118.0393
Transformer Failure,2017,191,51,28,21,Rainy,Completed,Faulty,5.6,2.6,34.4363,-118.5547
Line Breakage,2130,246,54,36,16,Clear,Completed,Faulty,2.2,2.4,34.1685,-118.1464
Overheating,2156,250,45,28,12,Thunderstorm,Completed,Faulty,2.6,1.8,34.9158,-118.9076
Transformer Failure,1917,232,49,25,26,Clear,Scheduled,Normal,4.5,4.4,34.2785,-118.084
Overheating,2282,234,47,27,10,Rainy,Pending,Overheated,2.3,5.6,34.1759,-118.4521
Transformer Failure,1863,239,53,31,15,Rainy,Pending,Normal,3.0,1.1,34.8173,-118.8213
Line Breakage,1810,244,53,21,22,Rainy,Scheduled,Normal,3.9,6.1,34.7663,-118.4868
Line Breakage,2093,215,52,27,24,Rainy,Pending,Normal,4.9,2.0,34.8617,-118.1657
Overheating,1993,197,45,29,24,Thunderstorm,Completed,Overheated,5.0,4.3,34.7545,-118.9329
Overheating,2292,246,50,39,28,Windstorm,Completed,Overheated,5.7,2.0,34.4039,-118.4749
Transformer Failure,1837,227,49,23,29,Windstorm,Completed,Faulty,3.2,1.1,34.1262,-118.9636
Transformer Failure,2022,198,52,38,14,Snowy,Completed,Normal,2.6,6.4,34.1987,-118.984
Transformer Failure,2164,239,50,26,24,Rainy,Completed,Normal,3.0,1.9,34.2529,-118.6008
Overheating,1827,224,52,32,30,Windstorm,Scheduled,Overheated,3.2,5.9,34.9227,-118.7046
Overheating,2244,241,46,31,20,Rainy,Completed,Overheated,2.7,7.0,34.4771,-118.066
Line Breakage,1830,183,53,26,30,Thunderstorm,Completed,Normal,3.8,3.0,34.7443,-118.4384
Overheating,1945,227,45,36,28,Clear,Completed,Faulty,3.7,4.1,34.4603,-118.3782
Overheating,2089,244,46,24,22,Snowy,Pending,Overheated,3.8,5.3,34.7793,-118.2713
Transformer Failure,1900,191,54,32,18,Windstorm,Scheduled,Normal,2.2,1.1,34.144,-118.2379
Line Breakage,2013,199,51,37,28,Snowy,Scheduled,Normal,6.0,2.0,34.1945,-118.4307
Line Breakage,1833,208,52,25,25,Clear,Scheduled,Overheated,3.8,6.4,34.2655,-118.5173
Overheating,2040,213,54,37,27,Snowy,Pending,Overheated,3.3,1.9,34.7279,-118.6279
Overheating,2149,215,54,27,17,Clear,Completed,Faulty,3.1,6.6,34.8354,-118.4102
Transformer Failure,2007,186,54,29,18,Clear,Scheduled,Overheated,2.9,5.7,34.4989,-118.2757
Line Breakage,1850,249,53,31,23,Windstorm,Completed,Overheated,3.3,1.5,34.4643,-118.8467
Line Breakage,2139,188,50,21,23,Windstorm,Completed,Normal,3.7,6.9,34.6231,-118.0515
Transformer Failure,1920,242,52,32,28,Rainy,Completed,Faulty,5.4,2.7,34.9376,-118.8818
Overheating,2106,221,54,32,12,Clear,Scheduled,Normal,5.2,1.1,34.8045,-118.6639
Overheating,2278,199,45,20,25,Rainy,Scheduled,Normal,3.2,6.1,34.4285,-118.1034
Overheating,1982,191,45,25,19,Snowy,Scheduled,Normal,6.0,1.5,34.6857,-118.1732
Line Breakage,1898,201,51,35,13,Snowy,Pending,Faulty,4.5,4.2,34.6144,-118.1786
Overheating,2110,213,47,40,26,Clear,Completed,Overheated,2.9,2.7,34.2844,-118.9351
Transformer Failure,2155,240,52,31,26,Snowy,Completed,Overheated,4.8,3.4,34.8522,-118.335
Line Breakage,2141,221,48,27,24,Rainy,Pending,Normal,2.1,1.4,34.7943,-118.1529
Line Breakage,1864,199,46,29,20,Snowy,Pending,Normal,4.9,3.6,34.1477,-118.0018
Line Breakage,2143,250,54,29,16,Windstorm,Pending,Normal,3.5,3.3,34.9299,-118.3317
Transformer Failure,2236,212,51,25,25,Windstorm,Pending,Faulty,5.1,6.2,34.0661,-118.9686
Transformer Failure,2294,234,55,30,28,Rainy,Scheduled,Normal,5.8,3.5,34.1329,-118.6731
Transformer Failure,1821,197,48,36,29,Windstorm,Completed,Normal,4.9,3.5,34.8755,-118.6654
Line Breakage,2209,227,50,20,13,Windstorm,Pending,Normal,2.8,3.0,34.6315,-118.2886
Overheating,1940,247,51,36,28,Thunderstorm,Pending,Normal,3.7,6.7,34.8578,-118.2559
Line Breakage,2080,217,53,34,11,Snowy,Completed,Normal,3.6,4.8,34.455,-118.2809
Line Breakage,2275,239,54,38,17,Snowy,Pending,Normal,3.8,2.8,34.4745,-118.1218
Overheating,2142,212,51,28,10,Thunderstorm,Scheduled,Normal,2.9,5.9,34.8522,-118.1833
Line Breakage,2290,189,49,37,27,Windstorm,Scheduled,Overheated,5.5,5.4,34.397,-118.57
Overheating,2139,186,52,38,16,Thunderstorm,Pending,Overheated,3.2,1.7,34.788,-118.2311
Line Breakage,2171,222,47,37,30,Rainy,Scheduled,Overheated,3.7,3.0,34.9256,-118.611
Line Breakage,1866,213,47,29,18,Windstorm,Scheduled,Faulty,2.8,2.0,34.9466,-118.9793
Line Breakage,2077,250,55,22,12,Rainy,Scheduled,Normal,5.8,1.4,34.7651,-118.7112
Transformer Failure,2031,223,46,36,27,Windstorm,Pending,Normal,3.9,4.7,34.9651,-118.8866
Line Breakage,1890,229,48,37,18,Clear,Pending,Normal,6.0,2.0,34.3563,-118.908
Transformer Failure,2073,204,52,40,21,Clear,Completed,Faulty,5.2,3.6,34.1603,-118.1848
Overheating,1885,204,54,40,25,Thunderstorm,Pending,Overheated,2.3,7.0,34.7759,-118.5975
Line Breakage,2199,243,53,34,22,Snowy,Pending,Faulty,2.8,1.3,34.8345,-118.0662
Transformer Failure,1808,227,55,30,23,Clear,Completed,Faulty,2.3,6.1,34.1881,-118.4291
Overheating,2103,197,52,35,27,Thunderstorm,Pending,Faulty,2.5,5.9,34.5205,-118.2339
Overheating,2220,234,49,21,13,Clear,Completed,Overheated,5.9,1.8,34.3171,-118.6879
Transformer Failure,1943,223,51,22,26,Snowy,Scheduled,Faulty,3.2,2.8,34.8157,-118.0007
Line Breakage,1894,191,47,36,29,Thunderstorm,Scheduled,Faulty,2.5,6.8,34.0261,-118.7148
Transformer Failure,2095,207,54,22,17,Clear,Completed,Faulty,5.4,4.3,34.3183,-118.8763
Overheating,2164,250,54,37,19,Thunderstorm,Pending,Faulty,2.4,3.4,34.913,-118.9203
Line Breakage,1847,222,49,21,14,Clear,Scheduled,Overheated,2.0,6.3,34.3119,-118.122
Line Breakage,2077,193,49,25,28,Thunderstorm,Scheduled,Normal,3.3,2.1,34.4692,-118.6389
Overheating,2215,182,52,26,14,Rainy,Pending,Overheated,4.0,6.9,34.7007,-118.8961
Line Breakage,2095,204,52,37,17,Clear,Completed,Normal,4.5,3.3,34.6814,-118.1249
Overheating,2298,232,54,29,18,Rainy,Pending,Normal,4.8,2.5,34.2927,-118.8638
Overheating,2007,204,49,24,28,Rainy,Pending,Overheated,2.5,5.0,34.4977,-118.0222
Line Breakage,1927,185,46,32,14,Rainy,Completed,Normal,4.3,4.9,34.7111,-118.7691
Overheating,2011,193,50,26,24,Rainy,Scheduled,Overheated,4.6,1.7,34.1108,-118.3038
Transformer Failure,2137,246,55,28,24,Rainy,Pending,Normal,2.8,3.1,34.3251,-118.5889
Overheating,2050,242,49,33,11,Snowy,Scheduled,Faulty,3.9,1.4,34.8581,-118.3377
Line Breakage,1904,232,46,29,14,Snowy,Completed,Normal,3.7,1.1,34.7483,-118.4757
Overheating,1955,208,52,26,18,Windstorm,Completed,Faulty,2.6,2.3,34.0653,-118.5456
Line Breakage,2048,229,48,37,26,Rainy,Scheduled,Faulty,4.9,4.1,34.0171,-118.7656
Overheating,2064,219,51,20,12,Thunderstorm,Scheduled,Normal,5.6,2.5,34.0988,-118.138
Line Breakage,2084,247,47,40,25,Thunderstorm,Scheduled,Normal,5.8,3.0,34.7577,-118.3316
Overheating,1974,180,52,26,15,Clear,Pending,Faulty,4.9,3.5,34.7697,-118.5803
Overheating,2121,231,55,39,28,Thunderstorm,Completed,Normal,3.5,4.7,34.8046,-118.4138
Line Breakage,1982,240,48,37,20,Windstorm,Scheduled,Faulty,5.8,1.1,34.3247,-118.1422
